,Planet Name,Full Phase Curve Noise Estimate 1.1-1.1566667um,Full Phase Curve Noise Estimate 1.1566667-1.2133333um,Full Phase Curve Noise Estimate 1.2133333-1.27um,Full Phase Curve Noise Estimate 1.27-1.3266667um,Full Phase Curve Noise Estimate 1.3266667-1.3833333um,Full Phase Curve Noise Estimate 1.3833333-1.44um,Full Phase Curve Noise Estimate 1.44-1.4966667um,Full Phase Curve Noise Estimate 1.4966667-1.5533333um,Full Phase Curve Noise Estimate 1.5533333-1.61um,Full Phase Curve Noise Estimate 1.61-1.6666667um,Full Phase Curve Noise Estimate 1.6666667-1.7233333um,Full Phase Curve Noise Estimate 1.7233333-1.78um,Full Phase Curve Noise Estimate 1.78-1.8366667um,Full Phase Curve Noise Estimate 1.8366667-1.8933333um,Full Phase Curve Noise Estimate 1.8933333-1.95um
158,Kepler-5b,3.699861438903846e-05,3.857744928589435e-05,4.021342843909219e-05,4.190226999172279e-05,4.3640379859416134e-05,4.542465519260515e-05,4.725269754396295e-05,4.9122366583000366e-05,5.103169076615256e-05,5.297920070511446e-05,5.496349454264313e-05,5.6983187989014004e-05,5.9037323925602505e-05,6.112491380523441e-05,6.324490384325558e-05
159,WASP-129b,2.1490991523234254e-05,2.2349710232136102e-05,2.3243112935031977e-05,2.4168306544011535e-05,2.5122888240973416e-05,2.6104808686095416e-05,2.711247756895085e-05,2.81444942500656e-05,2.9199587511807344e-05,3.0276799536181957e-05,3.137523159009507e-05,3.249401164005125e-05,3.3632524957081744e-05,3.479014983663414e-05,3.596623659466325e-05
160,WASP-145Ab,1.970718456140113e-05,2.0316063200780543e-05,2.0963052275136035e-05,2.1643948286583497e-05,2.2355350657158077e-05,2.3094445634164813e-05,2.38590326032294e-05,2.464723577222857e-05,2.545741601717089e-05,2.6288305005430112e-05,2.7138762228340527e-05,2.800773209604749e-05,2.889443130018434e-05,2.9798110847456412e-05,3.071803129473878e-05
161,WASP-167b,2.0007811326842274e-05,2.0941022257256142e-05,2.1903558415284462e-05,2.28935822379041e-05,2.3909522065147383e-05,2.4949991852146945e-05,2.6013928000713373e-05,2.7100359434440732e-05,2.820836896976591e-05,2.9337285572089038e-05,3.048645088362179e-05,3.16551960833981e-05,3.284307294505336e-05,3.4049602469897144e-05,3.5274258135488016e-05
162,K2-232b,4.908891873226561e-06,5.104602766913725e-06,5.308248172819022e-06,5.519164066925199e-06,5.736799128155262e-06,5.960683312910473e-06,6.190451820728199e-06,6.4257834873680336e-06,6.666386956654602e-06,6.912042629296838e-06,7.162544557145827e-06,7.417693019189548e-06,7.67734714004932e-06,7.941364538574083e-06,8.209596519282741e-06
163,TOI-157b,3.504004752845553e-05,3.629904027655392e-05,3.7618983610358905e-05,3.899404146376372e-05,4.041942987651451e-05,4.1891129913293464e-05,4.340600921310294e-05,4.496135378951982e-05,4.655474635535487e-05,4.818434071355035e-05,4.9848440805054324e-05,5.154543847608875e-05,5.32741710191476e-05,5.503349443530977e-05,5.682224529101199e-05
164,WASP-76b,1.1015694566854176e-05,1.1482445717538698e-05,1.1966288624540977e-05,1.2465926488528793e-05,1.2980272174806148e-05,1.3508388485322535e-05,1.4049550637851092e-05,1.460311285285808e-05,1.5168481307779452e-05,1.574521286012722e-05,1.6332885554813272e-05,1.6931083567760135e-05,1.753951874826352e-05,1.8157894206177663e-05,1.878589417318467e-05
165,Qatar-2b,4.214067994156558e-05,4.3315743965636215e-05,4.4578028044531506e-05,4.591720676215901e-05,4.732498240339981e-05,4.879454108957323e-05,5.0320547253778703e-05,5.1898489568349575e-05,5.352446329562801e-05,5.519542857506316e-05,5.690868080653378e-05,5.8661747285795804e-05,6.045276938797351e-05,6.227999530223363e-05,6.414172217575295e-05
166,LP791-18d,4.2496076788916217e-05,4.221661291719473e-05,4.2134617254449884e-05,4.221457334986394e-05,4.242930557095575e-05,4.275763771290199e-05,4.318311825499722e-05,4.36925506619133e-05,4.42751800072396e-05,4.492245119057125e-05,4.5627227067383805e-05,4.63834581167597e-05,4.718629858482914e-05,4.803155514999768e-05,4.8915534296575714e-05
167,HATS-22b,3.090006277021847e-05,3.18206435934239e-05,3.28024670473458e-05,3.383859314804287e-05,3.492342172354369e-05,3.605233239390085e-05,3.722170974941711e-05,3.842848155634784e-05,3.966997295783093e-05,4.0944109284482844e-05,4.22490325226774e-05,4.358303101588339e-05,4.4944828338242306e-05,4.633321066533805e-05,4.7746986669301234e-05
168,HAT-P-51b,3.436340810562747e-05,3.561180853554225e-05,3.6919513640639356e-05,3.8280916179413855e-05,3.9691414324295755e-05,4.1147136863014754e-05,4.2645067663219234e-05,4.418258958185073e-05,4.5757367593093615e-05,4.736762048695047e-05,4.9011708755656685e-05,5.0688074548875035e-05,5.239559414500689e-05,5.413315909833741e-05,5.5899639242741275e-05
169,TOI-837b,7.330105952468651e-06,7.630708838366443e-06,7.942933795510716e-06,8.265849528273813e-06,8.598679529349304e-06,8.940758535011062e-06,9.291571023650513e-06,9.650660741433398e-06,1.0017611299928135e-05,1.039211023289945e-05,1.0773862524760468e-05,1.1162580026357398e-05,1.1558061086220146e-05,1.1960100145028152e-05,1.236848076008404e-05
170,HAT-P-56b,1.7842948739802624e-05,1.863347433751965e-05,1.9450921702369665e-05,2.029341051513861e-05,2.1159351083287373e-05,2.2047359683504414e-05,2.295636967744754e-05,2.3885420766363716e-05,2.4833619671690037e-05,2.5800305443586223e-05,2.678484055342641e-05,2.7786588308603447e-05,2.880511394150678e-05,2.9839962275072318e-05,3.089064202119399e-05
171,WASP-57b,4.528176877921601e-05,4.698512462945862e-05,4.8764716507116486e-05,5.061363445742179e-05,5.252618491919455e-05,5.449755622104698e-05,5.652400425616681e-05,5.860226402099809e-05,6.0729405686777785e-05,6.290320346147166e-05,6.512159535747472e-05,6.738260812122834e-05,6.96848294103484e-05,7.202685424998362e-05,7.440723796306736e-05
172,KELT-24b,3.6504863628796745e-06,3.811003754845722e-06,3.977054306648425e-06,4.14824583220317e-06,4.324247268037764e-06,4.504770944449717e-06,4.68959498113588e-06,4.878519990678518e-06,5.07136088212456e-06,5.26798049532676e-06,5.468246834452176e-06,5.6720283862676035e-06,5.879235113666739e-06,6.089773018684344e-06,6.30354090589065e-06
173,HATS-35b,3.541414088951438e-05,3.692603696007877e-05,3.8492614382833416e-05,4.010977910613772e-05,4.177409440908969e-05,4.348259302513392e-05,4.523298138007786e-05,4.702321252768442e-05,4.8851400736008955e-05,5.0716140686784807e-05,5.261609148218318e-05,5.454992885741522e-05,5.6516737326170496e-05,5.851557119450458e-05,6.054542221443715e-05
174,WASP-94Ab,1.0250862951478054e-05,1.0679827495741561e-05,1.1124827347332773e-05,1.1584619544321666e-05,1.2058164309043443e-05,1.2544567461519083e-05,1.304313693181869e-05,1.3553257715657578e-05,1.4074365963951571e-05,1.460603998018016e-05,1.5147879563069333e-05,1.569949169699188e-05,1.626060298768676e-05,1.6830932922704092e-05,1.74101843160391e-05
175,HAT-P-24b,2.325457891098152e-05,2.425800340130274e-05,2.5297091201421088e-05,2.6369223150753953e-05,2.747219631843772e-05,2.8604104444385858e-05,2.9763475165124677e-05,3.094899127466159e-05,3.215943605108128e-05,3.339390454314202e-05,3.465153068548383e-05,3.593145648706648e-05,3.7233090840213573e-05,3.855582084566118e-05,3.989899080028471e-05
176,WASP-31b,2.3192469516505425e-05,2.4182599522428314e-05,2.520853995779944e-05,2.6267609657256927e-05,2.7357557936674193e-05,2.8476441554244313e-05,2.962275846450722e-05,3.0795168136900465e-05,3.199243561895748e-05,3.3213640577719695e-05,3.445790486871606e-05,3.572436124033533e-05,3.701241014709047e-05,3.832143226072934e-05,3.965076728680568e-05
177,WASP-183b,3.236601732281053e-05,3.350205344261723e-05,3.4695334614930144e-05,3.594023769717166e-05,3.72321642639812e-05,3.85672618808249e-05,3.994252582913817e-05,4.135536045785779e-05,4.2803461867603574e-05,4.4285066174364064e-05,4.5798559225726515e-05,4.734241713847716e-05,4.891553293244261e-05,5.0516823022973824e-05,5.2145191163554e-05
178,HAT-P-66b,4.087779206661315e-05,4.254124765029522e-05,4.4269856163492105e-05,4.6058332515912827e-05,4.7902275317233356e-05,4.979791892108002e-05,5.174234399995779e-05,5.37329707005591e-05,5.576744855302271e-05,5.7844011531069126e-05,5.996099539256673e-05,6.21167778942043e-05,6.431022124237904e-05,6.654016838239015e-05,6.880540378837333e-05
179,WASP-63b,1.2201973202846904e-05,1.2655876430620244e-05,1.31304862527283e-05,1.3623899452696083e-05,1.4134549913493033e-05,1.4661116112196905e-05,1.5202569290826963e-05,1.5758013810567528e-05,1.6326647502398205e-05,1.6907860126951877e-05,1.7501087561255265e-05,1.810579122162902e-05,1.8721584629471413e-05,1.9348084394016866e-05,1.9984897384381187e-05
180,HAT-P-33b,1.600323882539653e-05,1.6700909451058532e-05,1.742296520956712e-05,1.816764915582465e-05,1.8933480664715935e-05,1.9719175650269864e-05,2.052374304935115e-05,2.1346294105710308e-05,2.2186005672262773e-05,2.304226672959674e-05,2.3914490766462318e-05,2.4802094948392133e-05,2.5704679096241287e-05,2.6621826741763826e-05,2.7553090816344433e-05
181,WASP-48b,2.835582080131076e-05,2.9492995510670485e-05,3.0675818062153846e-05,3.190050167309777e-05,3.316389960625672e-05,3.4463326396648145e-05,3.579669848949549e-05,3.7162179612207066e-05,3.855810191095411e-05,3.998320940872496e-05,4.143632260769739e-05,4.291629601309646e-05,4.4422322929373464e-05,4.595358662217461e-05,4.750923270910612e-05
182,HD219134b,1.0011776658439625e-06,1.0297636086446293e-06,1.0603902898127076e-06,1.0928196908717725e-06,1.1268602651954244e-06,1.1623544669597568e-06,1.199178958311199e-06,1.2372292767155473e-06,1.2764148238491277e-06,1.3166651564639943e-06,1.3579174601540081e-06,1.4001141572067967e-06,1.4432120852143702e-06,1.4871704386855263e-06,1.5319494213502823e-06
183,HATS-3b,2.130069193805762e-05,2.2216895623309303e-05,2.3165831814850272e-05,2.4145082623166907e-05,2.515261559931353e-05,2.6186673187865322e-05,2.724589757689309e-05,2.8329074920450577e-05,2.9435084875322575e-05,3.056309367599548e-05,3.1712304104344826e-05,3.2881927112793253e-05,3.4071418530687544e-05,3.5280214759021826e-05,3.6507713461884984e-05
184,HAT-P-8b,1.0592435973399029e-05,1.103779764121723e-05,1.149967742587614e-05,1.1976805199884936e-05,1.2468117609321802e-05,1.297269935892279e-05,1.3489842248749515e-05,1.4018916315922924e-05,1.455934335337297e-05,1.5110691281572896e-05,1.5672549532804253e-05,1.6244514382403587e-05,1.6826305392645347e-05,1.7417634371737394e-05,1.8018195547627904e-05
185,WASP-96b,2.9764128665663388e-05,3.086881314554295e-05,3.202408872469057e-05,3.322529237693031e-05,3.446858800680837e-05,3.575073962048756e-05,3.7069227899793906e-05,3.8421860243371596e-05,3.980667361875337e-05,4.122217426886797e-05,4.266698191144977e-05,4.4139779371942e-05,4.563962098171183e-05,4.716556915235941e-05,4.871666301265081e-05
186,WASP-24b,2.0896789815581123e-05,2.1757806649835783e-05,2.2651850884571166e-05,2.3576295994923795e-05,2.4528950369374543e-05,2.5507934758727767e-05,2.6511793307735923e-05,2.753923634037166e-05,2.8589085633310674e-05,2.9660457704881944e-05,3.075251743273716e-05,3.186444811600843e-05,3.299567899885956e-05,3.4145627396524354e-05,3.531367890524304e-05
187,TOI-216.01,6.957261808162674e-06,7.18170382606744e-06,7.4192053556804445e-06,7.668375865989205e-06,7.928086729892491e-06,8.1974005544663e-06,8.475584757204119e-06,8.762012357308331e-06,9.056132871350932e-06,9.35752168423972e-06,9.665794939607714e-06,9.980595199585655e-06,1.0301658932745709e-05,1.0628732343990198e-05,1.0961562971014196e-05
188,KELT-3b,1.1879433911425024e-05,1.2387041415438634e-05,1.2912980922115237e-05,1.3455882075738839e-05,1.4014594356961448e-05,1.4588124224521432e-05,1.5175703758982484e-05,1.577664747957935e-05,1.639032375343645e-05,1.701626194086941e-05,1.7654012865333277e-05,1.8303132807841473e-05,1.89633151052195e-05,1.9634242877684035e-05,2.0315578188260664e-05
189,WASP-132b,1.2738649412573622e-05,1.3104692955294552e-05,1.3496594447873373e-05,1.3911350466161029e-05,1.4346543041593183e-05,1.4800182524273957e-05,1.5270711379290576e-05,1.575680980690124e-05,1.625733253059127e-05,1.6771389371719904e-05,1.729818606176512e-05,1.7836994023534098e-05,1.838726749813274e-05,1.894849009248252e-05,1.9520157723748734e-05
190,KELT-17b,8.900163206776337e-06,9.33415906697352e-06,9.780925061060874e-06,1.0239741621181327e-05,1.0709985871034476e-05,1.1191101117676149e-05,1.1682662169550687e-05,1.2184275284510789e-05,1.2695562935753665e-05,1.321625193939267e-05,1.3746069765876836e-05,1.4284735021660992e-05,1.4832062419186163e-05,1.538785005052578e-05,1.5951872229849572e-05
191,KELT-10b,1.1333994735855176e-05,1.1790835600077948e-05,1.2265858980081416e-05,1.275756803913657e-05,1.3264718010843556e-05,1.3786245684765341e-05,1.4321326375095174e-05,1.4869232597473765e-05,1.5429302893972213e-05,1.600103953803694e-05,1.6583974557005686e-05,1.7177652893856822e-05,1.778175452910543e-05,1.8395954970032545e-05,1.901991427222611e-05
192,WASP-117b,6.3326994521763875e-06,6.592001832279976e-06,6.861355253687648e-06,7.1399523392900896e-06,7.427120065507878e-06,7.722281986055572e-06,8.024991365850885e-06,8.334852947291176e-06,8.651506130139804e-06,8.974680245709861e-06,9.304119838329463e-06,9.639575498053742e-06,9.980872606458302e-06,1.032783324663144e-05,1.0680270167339136e-05
193,HATS-51b,2.2740014771912306e-05,2.362422397564328e-05,2.4545834483761168e-05,2.5501601973555833e-05,2.6488842045354018e-05,2.75052751252545e-05,2.8549129899835856e-05,2.961885363214574e-05,3.071304460413322e-05,3.183064253239937e-05,3.2970658521272354e-05,3.413213926318317e-05,3.5314407912014456e-05,3.6516785233300285e-05,3.773856675059947e-05
194,K2-333b,1.1425333722151777e-05,1.1880169718557206e-05,1.2353492078586439e-05,1.2843750309584508e-05,1.3349657353202664e-05,1.387011616193719e-05,1.4404275253800524e-05,1.4951385196897248e-05,1.5510766321130395e-05,1.608190623653781e-05,1.6664324568205335e-05,1.7257555635378634e-05,1.7861270833415045e-05,1.8475138189703463e-05,1.9098811154780053e-05
195,WASP-126b,1.4296219883716624e-05,1.4856733558787191e-05,1.544062486813178e-05,1.6045889372950028e-05,1.6670866724445213e-05,1.7314145154055893e-05,1.7974628088115522e-05,1.865135293085873e-05,1.9343449325603906e-05,2.0050259680062683e-05,2.077116957992978e-05,2.1505585577475613e-05,2.225308722087926e-05,2.3013251600259623e-05,2.3785639101424624e-05
196,WASP-6b,2.431953657182042e-05,2.520326336742595e-05,2.612895380174607e-05,2.709264133595373e-05,2.80910705711539e-05,2.912150287303067e-05,3.0181804538818302e-05,3.127012406198568e-05,3.2384809457920946e-05,3.3524600589772854e-05,3.4688337519923845e-05,3.587491803055631e-05,3.708354710177658e-05,3.831344047708677e-05,3.956379848684998e-05
197,LHS3844b,4.990544594982142e-05,4.969862127971329e-05,4.971155129823995e-05,4.990536772508752e-05,5.0250249563854975e-05,5.072289616289733e-05,5.1305183004442035e-05,5.198253448539081e-05,5.274303914959729e-05,5.357722146328812e-05,5.447715456218305e-05,5.543609824046894e-05,5.644866208275597e-05,5.7510165609874674e-05,5.861646964739058e-05
198,KELT-7b,5.960788530773785e-06,6.232289148852045e-06,6.512639779291868e-06,6.80125629586628e-06,7.097641902119794e-06,7.401361238712924e-06,7.712079490014294e-06,8.029493027412303e-06,8.353317164014693e-06,8.683342488102138e-06,9.019365211732892e-06,9.361179982348351e-06,9.708647949009003e-06,1.0061622169032987e-05,1.0419942503001476e-05
199,K2-198b,6.4570558833585335e-06,6.677556336692733e-06,6.909702249584916e-06,7.152317055886604e-06,7.404441117345047e-06,7.665272903058786e-06,7.93418679407663e-06,8.210644104790902e-06,8.494168513282523e-06,8.784394377989968e-06,9.08098852123544e-06,9.383637898775478e-06,9.692113926983405e-06,1.0006194118635129e-05,1.032565469397559e-05
200,WASP-78b,2.9177242985825436e-05,3.0384445418109252e-05,3.1637634437419154e-05,3.293317758054148e-05,3.426804184502642e-05,3.563962451871837e-05,3.7045909775724864e-05,3.84851104084779e-05,3.995559213307315e-05,4.1456130336200285e-05,4.2985566222446096e-05,4.4542765302106356e-05,4.6126935699520096e-05,4.773726791536238e-05,4.937290731190842e-05
201,HAT-P-45b,1.7450370208599305e-05,1.819866639314609e-05,1.897383062440235e-05,1.9773867175344816e-05,2.0597099403605924e-05,2.1442078366907197e-05,2.230768443470342e-05,2.319291738109116e-05,2.4096854739082092e-05,2.5018809612239324e-05,2.5958125780718206e-05,2.6914154331584716e-05,2.7886447296188702e-05,2.88745412106402e-05,2.987794124843134e-05
202,TrES-2b,2.208145365428622e-05,2.2955564024760676e-05,2.386554216037857e-05,2.480835481906309e-05,2.5781486122321294e-05,2.6782793583524004e-05,2.7810613826223015e-05,2.8863484283658214e-05,2.994008003514896e-05,3.1039401422989994e-05,3.216051244169767e-05,3.330250695614926e-05,3.4464744594254784e-05,3.564657947668562e-05,3.6847338428212356e-05
203,CoRoT-2b,2.764905619288643e-05,2.869481337259186e-05,2.9786940790560932e-05,3.0921264696936445e-05,3.209434379723063e-05,3.330326761016377e-05,3.4545771894767975e-05,3.581988051752859e-05,3.712381852299892e-05,3.8456238397705466e-05,3.9815890463079965e-05,4.120157742100593e-05,4.2612443410916055e-05,4.4047635850780184e-05,4.550627685498829e-05
204,HAT-P-27b,2.320850623771929e-05,2.4023763981574187e-05,2.4880046895317167e-05,2.577332850001031e-05,2.67003158114802e-05,2.7658249807545118e-05,2.8644978629194096e-05,2.965864319297472e-05,3.0697593188517547e-05,3.1760565225669994e-05,3.284640301213802e-05,3.395401476352046e-05,3.508260750832087e-05,3.623140490238705e-05,3.7399621393646776e-05
205,G9-40b,1.4050123545646703e-05,1.4115329477226795e-05,1.4231149304123343e-05,1.438924010500276e-05,1.458313456813694e-05,1.480772610640363e-05,1.5059026785576596e-05,1.533379714489125e-05,1.5629360448535063e-05,1.5943589637279425e-05,1.6274685037125597e-05,1.662109608600168e-05,1.6981592779607375e-05,1.735509168759902e-05,1.7740618243998527e-05
206,WASP-41b,1.809407355732064e-05,1.8766393930824768e-05,1.9469444515041606e-05,2.0200396836487597e-05,2.0956923710231582e-05,2.1737061706932172e-05,2.2539282302736257e-05,2.3362254980761346e-05,2.4204788304830606e-05,2.506597578246123e-05,2.5944979604774964e-05,2.684100008043368e-05,2.7753463216781444e-05,2.8681799766395144e-05,2.9625426182915695e-05
207,TOI-640b,1.0007711716657345e-05,1.0444846951227159e-05,1.0897213339060504e-05,1.1363717476694228e-05,1.1843437578228961e-05,1.2335573874853667e-05,1.2839509190611135e-05,1.3354689805756956e-05,1.388060261573797e-05,1.4416866888194438e-05,1.4963116953732483e-05,1.5518989222309216e-05,1.6084234211139683e-05,1.665859209960105e-05,1.724178379691316e-05
208,TOI-1259Ab,1.7898321391880964e-05,1.8425682085093102e-05,1.8988779107865525e-05,1.9583531218019563e-05,2.02066474908692e-05,2.0855415037000525e-05,2.1527710752182904e-05,2.2221732110584683e-05,2.293591137665955e-05,2.3669031768689082e-05,2.442000484508608e-05,2.5187829252079095e-05,2.59717571974939e-05,2.6771078688052644e-05,2.7585098074543943e-05
209,WASP-138b,2.2110662318542228e-05,2.3050656302449962e-05,2.402488271702109e-05,2.5030759417749503e-05,2.6066120464500917e-05,2.7129097384383625e-05,2.8218245515035358e-05,2.933227672958758e-05,3.0470005576221286e-05,3.1630547937561684e-05,3.281306120012683e-05,3.40167142043108e-05,3.524093159107849e-05,3.6485119875034135e-05,3.77486471629253e-05
210,WASP-74b,1.0231463504484806e-05,1.0646945061599898e-05,1.1078757240666941e-05,1.152557099090662e-05,1.198627984060535e-05,1.2459937486504768e-05,1.2945810219234657e-05,1.344324990661293e-05,1.3951666309973746e-05,1.4470615806702867e-05,1.4999680553598417e-05,1.5538453471204058e-05,1.608664887644852e-05,1.6643976437147053e-05,1.7210131336853573e-05
211,HAT-P-25b,2.80717183260076e-05,2.9108574608713353e-05,3.019330936043966e-05,3.132148358088386e-05,3.248944749226844e-05,3.3694124238624366e-05,3.4933117971549405e-05,3.620434498830404e-05,3.750594124276168e-05,3.883648749117112e-05,4.019467348084198e-05,4.157925009908306e-05,4.298931957249374e-05,4.442399284474572e-05,4.588235985253189e-05
212,HAT-P-62b,2.872063676967597e-05,2.9807863707839445e-05,3.094322855750277e-05,3.212240328959382e-05,3.334181902803542e-05,3.459845702096776e-05,3.5889968879266064e-05,3.7214304757879224e-05,3.856962321412185e-05,3.995452641155543e-05,4.1367717780847534e-05,4.2807954866728755e-05,4.427434971096346e-05,4.57660175599675e-05,4.7282047201028045e-05
213,WASP-29b,1.107308035621999e-05,1.140258493746938e-05,1.17540531160241e-05,1.212499391184148e-05,1.2513397403169029e-05,1.2917605467328331e-05,1.3336320617505351e-05,1.3768440405373934e-05,1.4213005086159427e-05,1.4669270210004502e-05,1.5136569152791786e-05,1.5614287889561152e-05,1.610196845676244e-05,1.6599175425194514e-05,1.71054815136211e-05
214,WASP-82b,1.0536336507754686e-05,1.0997822633421338e-05,1.1475317424665259e-05,1.1967677628469185e-05,1.2473938917665405e-05,1.2993264103132348e-05,1.3525007265295592e-05,1.4068588515636008e-05,1.4623470109972889e-05,1.5189253247332952e-05,1.576555459315187e-05,1.6351992674397516e-05,1.694830597836485e-05,1.755422188290077e-05,1.816944727798657e-05
215,HAT-P-29b,1.5380839482144083e-05,1.60187895251471e-05,1.6680941634737377e-05,1.7365391826903528e-05,1.8070549693561328e-05,1.879504982969771e-05,1.953783487262092e-05,2.0297966911303332e-05,2.1074587807655254e-05,2.1867054800424394e-05,2.267475929196491e-05,2.3497105055065855e-05,2.433367622647707e-05,2.51840473499984e-05,2.6047768908575743e-05
216,K2-31b,2.1982704455263163e-05,2.2747496182529577e-05,2.3551413629616332e-05,2.4390577695691643e-05,2.5261818919625035e-05,2.616248466253426e-05,2.7090505475993527e-05,2.8044095574568436e-05,2.9021671882871105e-05,3.0022021323640527e-05,3.1044035357129594e-05,3.2086669083602424e-05,3.314916216807657e-05,3.423077173387824e-05,3.533074765932654e-05
217,HAT-P-37b,4.364427161324902e-05,4.524920351514164e-05,4.69288086666539e-05,4.8676126901185746e-05,5.048543838287184e-05,5.235192392973674e-05,5.427183040460392e-05,5.6241895691538936e-05,5.8259203663994434e-05,6.032153290239196e-05,6.242683424660068e-05,6.457315590317281e-05,6.6759093687836e-05,6.898325853091822e-05,7.124423005793905e-05
218,XO-2Nb,1.659395889430937e-05,1.7180544537133414e-05,1.779633177213472e-05,1.843847382382394e-05,1.9104641041390572e-05,1.97928801116324e-05,2.0501667856658752e-05,2.1229687304918778e-05,2.197576831177744e-05,2.2739015649164605e-05,2.3518609137497456e-05,2.4313773467952256e-05,2.5123946226997597e-05,2.594857604624966e-05,2.6787104244667273e-05
219,HAT-P-32b,2.0533624971525383e-05,2.1369062186961525e-05,2.22372307195311e-05,2.3135474739309175e-05,2.4061582546534454e-05,2.501366196090244e-05,2.5990246050319547e-05,2.6990038507936715e-05,2.801185833022803e-05,2.905481814537853e-05,3.0118081760096528e-05,3.120083411978159e-05,3.2302503540918024e-05,3.3422508693449525e-05,3.456023890136663e-05
220,KPS-1b,3.9149057454606394e-05,4.046756632423406e-05,4.185737645701619e-05,4.331118649685912e-05,4.482304872400711e-05,4.638800251648646e-05,4.800217465128595e-05,4.966223529746279e-05,5.1365245466570674e-05,5.310894626112365e-05,5.489128353527946e-05,5.671033169788601e-05,5.856468120035655e-05,6.0452963811541756e-05,6.237380721682979e-05
221,XO-1b,1.4557149890070843e-05,1.5122275097168485e-05,1.5711369860950127e-05,1.6322350364176315e-05,1.6953492791540174e-05,1.760333364870915e-05,1.8270735663431902e-05,1.8954702164358092e-05,1.965433368885878e-05,2.036894971841788e-05,2.1097915769261568e-05,2.1840620416743914e-05,2.2596629374635865e-05,2.3365507016157954e-05,2.414680172010751e-05
222,WASP-190b,2.0004082252794e-05,2.0870576118618488e-05,2.1767674123884115e-05,2.269314454612899e-05,2.364510896579861e-05,2.462194059110517e-05,2.5622383262946966e-05,2.664531219699583e-05,2.7689687387571012e-05,2.8754735883103442e-05,2.9839717127265123e-05,3.094389662898836e-05,3.206676900279856e-05,3.32078095124175e-05,3.436645606551508e-05
223,WASP-92b,3.975968517408705e-05,4.145203229444154e-05,4.320588877621961e-05,4.5016624836921486e-05,4.6880356117606316e-05,4.8793730911700676e-05,5.0754157963002625e-05,5.2759326178961574e-05,5.480710805367291e-05,5.689591722592507e-05,5.9024241304121476e-05,6.119058794071329e-05,6.339392447125334e-05,6.563318525718904e-05,6.79072352599951e-05
224,HAT-P-19b,2.3216118303555712e-05,2.3956207174794534e-05,2.4740236872207877e-05,2.556348129137431e-05,2.6422108083521366e-05,2.7312937684611746e-05,2.82334846812418e-05,2.9181624395507223e-05,3.0155493913766225e-05,3.115365496988384e-05,3.217480933381407e-05,3.321775021792929e-05,3.4281586234589985e-05,3.536546068225932e-05,3.6468523191872276e-05
225,HAT-P-67b,8.775287943840895e-06,9.155719451600107e-06,9.549569090652322e-06,9.955859919077931e-06,1.0373769522160574e-05,1.0802585523059096e-05,1.1241757879943744e-05,1.1690793979614324e-05,1.2149238238911504e-05,1.2616752114852732e-05,1.3093011173554095e-05,1.3577693556783204e-05,1.4070577863571571e-05,1.457143414577637e-05,1.5080016016370433e-05
226,K2-107b,3.0791772825478624e-05,3.2050867075803e-05,3.335887815502124e-05,3.471186813541418e-05,3.6106555089068436e-05,3.754012872574795e-05,3.901041095317651e-05,4.051547517227241e-05,4.2053564240572375e-05,4.362335894600454e-05,4.5223614642121464e-05,4.6853116572430135e-05,4.8511013919055385e-05,5.0196440162893864e-05,5.190848369412255e-05
227,HAT-P-1b,9.633933504595543e-06,1.0024463938605588e-05,1.0430389666258584e-05,1.0850454335113921e-05,1.1283612275184826e-05,1.1728969457396676e-05,1.2185832635840603e-05,1.2653589625159079e-05,1.3131683131931053e-05,1.3619694179742505e-05,1.4117228305787567e-05,1.4623901381206888e-05,1.5139443695785557e-05,1.5663581297405948e-05,1.6196026714587996e-05
228,WASP-16b,1.49750749789803e-05,1.5550530807788225e-05,1.6150821490184647e-05,1.677375782783835e-05,1.7417531225267015e-05,1.8080608554575082e-05,1.876179789352598e-05,1.9460056402822144e-05,2.0174444737230685e-05,2.090425122696631e-05,2.1648813756551198e-05,2.2407495746908643e-05,2.3179843894157943e-05,2.396540474818628e-05,2.4763709480363487e-05
229,K2-261b,6.410021005680339e-06,6.645902328264576e-06,6.8927454118448245e-06,7.149529387127812e-06,7.4154152417141994e-06,7.689696010854022e-06,7.971821130278319e-06,8.26131201857126e-06,8.557740805204506e-06,8.860781577486316e-06,9.170133656984527e-06,9.48551061163701e-06,9.806706404675856e-06,1.013351718280732e-05,1.046573446341864e-05
230,GJ3470b,1.0206878240980574e-05,1.0326184514590775e-05,1.0476598228177266e-05,1.0653348079573346e-05,1.0852701502317773e-05,1.1071682932562733e-05,1.130796316726713e-05,1.1559632247067818e-05,1.1825095103127308e-05,1.2103087717534929e-05,1.2392528571571474e-05,1.2692473432426629e-05,1.3002180812692083e-05,1.3320987894726736e-05,1.3648288003948896e-05
231,HAT-P-15b,8.923064053029229e-06,9.256344822384502e-06,9.604724315455255e-06,9.966821718133635e-06,1.0341500247978903e-05,1.0727800137812797e-05,1.1124974358099314e-05,1.1532372157576145e-05,1.194941029897115e-05,1.2375645309763522e-05,1.2810666915591419e-05,1.3254083085341454e-05,1.3705612764223866e-05,1.4164976862347408e-05,1.463188891231492e-05
