,Planet Name,Full Phase Curve Noise Estimate 1.1-1.1425um,Full Phase Curve Noise Estimate 1.1425-1.185um,Full Phase Curve Noise Estimate 1.185-1.2275um,Full Phase Curve Noise Estimate 1.2275-1.27um,Full Phase Curve Noise Estimate 1.27-1.3125um,Full Phase Curve Noise Estimate 1.3125-1.355um,Full Phase Curve Noise Estimate 1.355-1.3975um,Full Phase Curve Noise Estimate 1.3975-1.44um,Full Phase Curve Noise Estimate 1.44-1.4825um,Full Phase Curve Noise Estimate 1.4825-1.525um,Full Phase Curve Noise Estimate 1.525-1.5675um,Full Phase Curve Noise Estimate 1.5675-1.61um,Full Phase Curve Noise Estimate 1.61-1.6525um,Full Phase Curve Noise Estimate 1.6525-1.695um,Full Phase Curve Noise Estimate 1.695-1.7375um,Full Phase Curve Noise Estimate 1.7375-1.78um,Full Phase Curve Noise Estimate 1.78-1.8225um,Full Phase Curve Noise Estimate 1.8225-1.865um,Full Phase Curve Noise Estimate 1.865-1.9075um,Full Phase Curve Noise Estimate 1.9075-1.95um
171,WASP-57b,5.2049734001469924e-05,5.350767435586957e-05,5.5017083793556266e-05,5.6574153134292455e-05,5.817565305078084e-05,5.9818822917319535e-05,6.150128440865996e-05,6.322097365964147e-05,6.497608749902292e-05,6.67650404658224e-05,6.858643016590372e-05,7.043900913772119e-05,7.232166184089683e-05,7.423338570836558e-05,7.617327544576407e-05,7.814050994383535e-05,8.013434130735745e-05,8.215408560910065e-05,8.419911505803078e-05,8.626885133343706e-05
172,KELT-24b,4.1928281374014485e-06,4.330601026542594e-06,4.472079496056478e-06,4.617047458466164e-06,4.765319401321575e-06,4.916734742188466e-06,5.071153406838314e-06,5.228452331663577e-06,5.388522671938178e-06,5.551267554541051e-06,5.716600254580837e-06,5.884442704936939e-06,6.05472426940078e-06,6.227380726136133e-06,6.4023534201615545e-06,6.579588552592027e-06,6.759036581249232e-06,6.940651712515739e-06,7.1243914683781925e-06,7.31021631576882e-06
173,HATS-35b,4.068187793499947e-05,4.197895393455934e-05,4.331270987795765e-05,4.468088997476345e-05,4.608156315173338e-05,4.7513062591266606e-05,4.8973938448873014e-05,5.0462920512699694e-05,5.197888844451233e-05,5.352084786028878e-05,5.508791095103483e-05,5.667928066455477e-05,5.8294237703106304e-05,5.993212976495103e-05,6.159236258700166e-05,6.327439244303863e-05,6.497771982587619e-05,6.670188409842798e-05,6.84464589422922e-05,7.021104846639744e-05
174,WASP-94Ab,1.1776864167577593e-05,1.2144758252564713e-05,1.2523420329699673e-05,1.291216551135124e-05,1.3310408546339438e-05,1.3717645169309174e-05,1.4133437530807247e-05,1.4557402702636406e-05,1.4989203526020324e-05,1.54285412626367e-05,1.587514964610465e-05,1.6328790030922e-05,1.678924740850923e-05,1.7256327113670144e-05,1.7729852084793642e-05,1.8209660571225674e-05,1.8695604204096473e-05,1.9187546364370336e-05,1.9685360795370748e-05,2.018893041750237e-05
175,HAT-P-24b,2.6712125258738272e-05,2.757312165798197e-05,2.8458026868797807e-05,2.936539777137821e-05,3.0293997742168134e-05,3.124275831852298e-05,3.221074920203607e-05,3.319715455596729e-05,3.420125410489433e-05,3.522240793516678e-05,3.62600441741013e-05,3.731364892807918e-05,3.838275800772636e-05,3.9466950077798455e-05,4.0565840951119615e-05,4.167907880748552e-05,4.280634016523409e-05,4.394732646901865e-05,4.510176118498934e-05,4.6269387316090204e-05
176,WASP-31b,2.6642273119804262e-05,2.749171898591279e-05,2.8365186286905034e-05,2.9261197721638253e-05,3.0178488643951153e-05,3.111596746682722e-05,3.2072684697400144e-05,3.3047808482942775e-05,3.404060512189709e-05,3.505042339922462e-05,3.6076681895116285e-05,3.71188586257462e-05,3.8176482528128146e-05,3.924912641448337e-05,4.0336401106133775e-05,4.143795052063729e-05,4.255344753428321e-05,4.368259047911305e-05,4.482510016223127e-05,4.5980717317385046e-05
177,WASP-183b,3.721512945106575e-05,3.81859979489806e-05,3.91956346003037e-05,4.0240938212679104e-05,4.131929032047452e-05,4.242846148936478e-05,4.3566538685899e-05,4.473186840023546e-05,4.592301168262724e-05,4.7138708284385435e-05,4.837784782432187e-05,4.9639446425730195e-05,5.0922627649376244e-05,5.222660682704552e-05,5.3550678107021714e-05,5.489420367756489e-05,5.625660475122207e-05,5.7637353981640926e-05,5.9035969052714544e-05,6.0452007232537326e-05
178,HAT-P-66b,4.696973509898987e-05,4.8395681697570666e-05,4.9865444028546114e-05,5.137610970642501e-05,5.292519580644166e-05,5.451056791850997e-05,5.6130377000525395e-05,5.778300962713514e-05,5.9467048430153e-05,6.118124037200851e-05,6.292447109658119e-05,6.469574403705193e-05,6.6494163278172e-05,6.831891940472426e-05,7.016927774254812e-05,7.204456852972315e-05,7.394417865502814e-05,7.586754467684376e-05,7.781414689427597e-05,7.978350428773392e-05
179,WASP-63b,1.402644406638036e-05,1.4414858934393008e-05,1.48172607022424e-05,1.5232600134411954e-05,1.5659988340485266e-05,1.609866597283145e-05,1.6547979294289204e-05,1.7007361395415924e-05,1.7476317314795736e-05,1.7954412148291866e-05,1.8441261469309947e-05,1.8936523551998673e-05,1.943989301287272e-05,1.9951095577166565e-05,2.046988374366608e-05,2.0996033172294484e-05,2.1529339656936606e-05,2.2069616575100782e-05,2.261669272839262e-05,2.3170410505084352e-05
180,HAT-P-33b,1.8381636136257615e-05,1.8980372889440772e-05,1.9595448257724563e-05,2.0225894195394664e-05,2.0870880344672034e-05,2.152968854984373e-05,2.2201692903617526e-05,2.2886343971551523e-05,2.3583156205915974e-05,2.429169781871064e-05,2.5011582568510435e-05,2.5742463049763326e-05,2.648402517125819e-05,2.7235983583042774e-05,2.7998077865282353e-05,2.8770069333401126e-05,2.9551738344913084e-05,3.0342882017145415e-05,3.114331228344141e-05,3.195285422972022e-05
181,WASP-48b,3.258399719319809e-05,3.355854884340854e-05,3.4563821988378054e-05,3.5597729782944035e-05,3.665849513056559e-05,3.7744592102421865e-05,3.885470027002789e-05,3.998766874962006e-05,4.114248763067494e-05,4.231826507612838e-05,4.351420882043786e-05,4.47296111080371e-05,4.5963836345575714e-05,4.721631091149887e-05,4.848651469321331e-05,4.9773974017254194e-05,5.1078255710006475e-05,5.2398962081635335e-05,5.373572666832182e-05,5.50882106008037e-05
182,HD219134b,1.1521139397633906e-06,1.1764033326376878e-06,1.202085299229411e-06,1.2290283582582213e-06,1.25712248486906e-06,1.286274824948017e-06,1.3164063954056543e-06,1.3474495167234894e-06,1.3793457956875399e-06,1.4120445259794424e-06,1.4455014093169749e-06,1.4796775248031405e-06,1.5145384921537595e-06,1.5500537876088125e-06,1.5861961810123971e-06,1.6229412697475168e-06,1.6602670906193882e-06,1.6981537948753175e-06,1.7365833746753985e-06,1.7755394317326985e-06
183,HATS-3b,2.4468138787775465e-05,2.5254255621324844e-05,2.6062320262513275e-05,2.6891000485070643e-05,2.7739155035619854e-05,2.8605798148552104e-05,2.9490071784432965e-05,3.0391223697218275e-05,3.1308589947975304e-05,3.224158084475025e-05,3.318966954713672e-05,3.4152382761496185e-05,3.512929308992618e-05,3.6120012697460237e-05,3.7124188037685844e-05,3.814149543398211e-05,3.917163735691185e-05,4.0214339271480686e-05,4.126934695359383e-05,4.23364241949462e-05
184,HAT-P-8b,1.2168989553642122e-05,1.2550976444311688e-05,1.2944052732987146e-05,1.334751857075321e-05,1.3760775674387128e-05,1.4183308337890562e-05,1.461466859500195e-05,1.5054464510694976e-05,1.5502350856947108e-05,1.5958021623679368e-05,1.64212039555404e-05,1.6891653206261075e-05,1.736914887618399e-05,1.785349125313552e-05,1.8344498617508216e-05,1.8842004903048433e-05,1.9345857728100194e-05,1.9855916729847804e-05,2.0372052147826158e-05,2.0894143613624912e-05
185,WASP-96b,3.421489595713283e-05,3.5160152783046274e-05,3.613958650915626e-05,3.715062639286362e-05,3.819109486130668e-05,3.925913195091237e-05,4.035313660512354e-05,4.147172060736401e-05,4.261367208989188e-05,4.377792637519854e-05,4.4963542486371596e-05,4.6169684079761734e-05,4.739560385654348e-05,4.864063073265008e-05,4.9904159212050406e-05,5.11856405323227e-05,5.248457524522289e-05,5.3800506966378355e-05,5.513301708312745e-05,5.648172025198793e-05
186,WASP-24b,2.400949774066095e-05,2.4747739392258068e-05,2.550817773462987e-05,2.6289365460629697e-05,2.7090067436159643e-05,2.790922082922851e-05,2.8745903987157137e-05,2.9599311901451605e-05,3.0468736687632392e-05,3.1353551921538734e-05,3.225319996930957e-05,3.316718166181629e-05,3.409504782032305e-05,3.503639225526737e-05,3.5990845945853724e-05,3.6958072172666675e-05,3.7937762424461604e-05,3.892963293771332e-05,3.9933421756354726e-05,4.09488862215232e-05
187,TOI-216.01,8.002426723967647e-06,8.193828646865966e-06,8.394104918017563e-06,8.602488168626984e-06,8.81833314659029e-06,9.04109270396976e-06,9.270299238932123e-06,9.505550204308015e-06,9.746496682778586e-06,9.992834299170502e-06,1.0244295931495259e-05,1.05006458191481e-05,1.0761674765696052e-05,1.1027196206134959e-05,1.1297042962054147e-05,1.1571064548112953e-05,1.184912492332992e-05,1.2131100603535576e-05,1.2416879068833213e-05,1.2706357413399651e-05
188,KELT-3b,1.3646397078619996e-05,1.4081886592777424e-05,1.452967251497749e-05,1.4988999790854023e-05,1.5459222001551154e-05,1.593978114098903e-05,1.6430191800389746e-05,1.6930028677731348e-05,1.743891662278464e-05,1.7956522635263835e-05,1.8482549381559776e-05,1.901672990256356e-05,1.95588232634004e-05,2.0108610953771607e-05,2.066589389080502e-05,2.1230489908843902e-05,2.1802231645321362e-05,2.2380964750787104e-05,2.2966546365758615e-05,2.3558843818414726e-05
189,WASP-132b,1.4658777198870573e-05,1.4969867563180318e-05,1.5298599536045502e-05,1.5643314114681086e-05,1.6002622715814603e-05,1.6375353202422396e-05,1.6760508320016158e-05,1.715723335104139e-05,1.7564790696543176e-05,1.7982539719852027e-05,1.840992062754271e-05,1.884644147701529e-05,1.9291667626667257e-05,1.974521310992586e-05,2.020673353624131e-05,2.0675920212793505e-05,2.1152495248744802e-05,2.1636207455426008e-05,2.2126828895211795e-05,2.262415196212474e-05
190,KELT-17b,1.0216475706664075e-05,1.058947978935806e-05,1.0970985675193375e-05,1.1360596747526427e-05,1.1757968156252145e-05,1.2162797617367397e-05,1.2574818156632102e-05,1.299379233154757e-05,1.3419507589279695e-05,1.385177250598982e-05,1.429041371632413e-05,1.4735273387933718e-05,1.5186207129874606e-05,1.5643082249011745e-05,1.610577628753813e-05,1.6574175789101087e-05,1.7048175252020863e-05,1.7527676236546235e-05,1.8012586599660373e-05,1.8502819836077505e-05
191,KELT-10b,1.3023697174581312e-05,1.3415243048396243e-05,1.3819022787547137e-05,1.4234211521486993e-05,1.4660106541437262e-05,1.5096104223484085e-05,1.5541682034386527e-05,1.599638436080895e-05,1.6459811246267424e-05,1.6931609361951483e-05,1.7411464710052194e-05,1.7899096682681825e-05,1.8394253190288773e-05,1.8896706640430405e-05,1.9406250597628708e-05,1.9922696992496623e-05,2.0445873776725062e-05,2.097562294221865e-05,2.151179883938347e-05,2.2054266742531454e-05
192,WASP-117b,7.276223975423663e-06,7.498527380187837e-06,7.727587989279017e-06,7.962960901105305e-06,8.204266630222537e-06,8.451178795793862e-06,8.703414514328132e-06,8.96072682821775e-06,9.222898683609401e-06,9.489738099374763e-06,9.761074260455109e-06,1.003675433493125e-05,1.0316640862422079e-05,1.0600609597012187e-05,1.088854771443407e-05,1.1180352313170314e-05,1.147592915426745e-05,1.1775191596214525e-05,1.207805969015106e-05,1.2384459407582164e-05
193,HATS-51b,2.6134733450740942e-05,2.689205265278616e-05,2.7674582322026085e-05,2.8480534310231535e-05,2.9308389312989884e-05,3.0156845679464415e-05,3.102477956330183e-05,3.191121359077372e-05,3.281529199614691e-05,3.3736260718152624e-05,3.467345133861038e-05,3.56262680232234e-05,3.659417682783061e-05,3.75766968830578e-05,3.857339308160619e-05,3.9583869975931054e-05,4.060776665730025e-05,4.1644752435477216e-05,4.269452317540438e-05,4.375679817602402e-05
194,K2-333b,1.3129456336743527e-05,1.3519194959240308e-05,1.3921379760453128e-05,1.4335156259040565e-05,1.4759797207898051e-05,1.519467849104598e-05,1.5639260340304094e-05,1.6093072551406882e-05,1.6555702740018114e-05,1.702678693194597e-05,1.7506001962763653e-05,1.7993059292508486e-05,1.848769993629117e-05,1.8989690281770492e-05,1.949881861664389e-05,2.001489222850178e-05,2.0537734969098497e-05,2.106718519777611e-05,2.1603094036245377e-05,2.214532388046752e-05
195,WASP-126b,1.6429760971484215e-05,1.6909914113585584e-05,1.7405818571994696e-05,1.791636961955798e-05,1.8440628072106496e-05,1.897778882316643e-05,1.952715634060021e-05,2.0088125393619792e-05,2.066016575267929e-05,2.1242809938041126e-05,2.183564333016426e-05,2.2438296126133415e-05,2.305043675104156e-05,2.367176642507342e-05,2.430201465535354e-05,2.4940935472900032e-05,2.5588304273863575e-05,2.624391515387537e-05,2.6907578647144515e-05,2.7579119799622874e-05
196,WASP-6b,2.795883098793985e-05,2.8714671486330986e-05,2.9498887922095263e-05,3.030929323949846e-05,3.114403722256757e-05,3.200154150774224e-05,3.2880449139179445e-05,3.3779585014398046e-05,3.4697924576651077e-05,3.5634568817156955e-05,3.658872415201659e-05,3.7559686099133694e-05,3.8546825942454566e-05,3.9549579763274976e-05,4.056743936113175e-05,4.159994469369358e-05,4.264667754583411e-05,4.370725619957983e-05,4.478133092386118e-05,4.586858013951669e-05
197,LHS3844b,5.767067857494729e-05,5.743904617823391e-05,5.7361281242326535e-05,5.741564161546398e-05,5.7584485302120216e-05,5.785335827243106e-05,5.82103125812981e-05,5.8645390375843364e-05,5.915022899812989e-05,5.971775558565801e-05,6.034194858065905e-05,6.101764979760761e-05,6.174041507624595e-05,6.250639465789754e-05,6.331223665863021e-05,6.415500863737812e-05,6.503213344967283e-05,6.594133646143276e-05,6.68806018582241e-05,6.784813628390974e-05
198,KELT-7b,6.845048548668722e-06,7.078196097957589e-06,7.317258782767818e-06,7.561914746169586e-06,7.811886617506062e-06,8.066933391087313e-06,8.326844051183641e-06,8.591432519140569e-06,8.86053361216121e-06,9.133999783892923e-06,9.411698474784149e-06,9.6935099421558e-06,9.979325470739751e-06,1.0269045887273388e-05,1.0562580319834301e-05,1.0859845155505473e-05,1.116076315979427e-05,1.1465262728773329e-05,1.177327725075088e-05,1.2084744558823992e-05
199,K2-198b,7.425334227228515e-06,7.613651589016864e-06,7.809864704891851e-06,8.013324564545658e-06,8.223483964910474e-06,8.439877661288155e-06,8.662106996665013e-06,8.889827876523786e-06,9.122741271306976e-06,9.36058564872011e-06,9.603130893885518e-06,9.850173387068455e-06,1.010153198971277e-05,1.0357044748905474e-05,1.0616566174360886e-05,1.0879964974877125e-05,1.114712216600279e-05,1.141792947949561e-05,1.169228801960146e-05,1.1970107122335097e-05
200,WASP-78b,3.352267116580056e-05,3.455780875334253e-05,3.5623845740078116e-05,3.671878053542911e-05,3.784090438877565e-05,3.8988746416293974e-05,4.0161030680595194e-05,4.1356642348405324e-05,4.2574600760374406e-05,4.381403781726229e-05,4.507418049381494e-05,4.635433658572962e-05,4.765388300995333e-05,4.897225613712694e-05,5.030894375319298e-05,5.166347833607768e-05,5.30354314008187e-05,5.442440871808887e-05,5.583004625083856e-05,5.725200668464214e-05
201,HAT-P-45b,2.004559049883574e-05,2.0687609117522775e-05,2.134764632073903e-05,2.2024602484702395e-05,2.2717535886699347e-05,2.342563334009939e-05,2.41481872246542e-05,2.4884577342425303e-05,2.5634256454374788e-05,2.639673865258397e-05,2.7171589937583276e-05,2.7958420525516972e-05,2.8756878523462e-05,2.9566644695188003e-05,3.038742810233198e-05,3.121896245316826e-05,3.2061003027028535e-05,3.291332406989036e-05,3.377571657785627e-05,3.464798640171899e-05
202,TrES-2b,2.5375666417538293e-05,2.6124592770893734e-05,2.6897674410688133e-05,2.7693239667391904e-05,2.850986638051114e-05,2.9346334572704543e-05,3.0201589578845642e-05,3.1074713033126284e-05,3.1964899827437206e-05,3.287143965374585e-05,3.379370209906016e-05,3.473112451815983e-05,3.5683202096380975e-05,3.664947965259069e-05,3.7629544835072113e-05,3.8623022440063946e-05,3.962956964105755e-05,4.0648871961511324e-05,4.168063985794733e-05,4.272460580698126e-05
203,CoRoT-2b,3.178077049313577e-05,3.2675958349093356e-05,3.360244398798115e-05,3.4557926660664104e-05,3.5540455165205306e-05,3.6548360914037395e-05,3.7580205893076456e-05,3.863474179125288e-05,3.971087760216601e-05,4.080765371774971e-05,4.1924221044495615e-05,4.3059824040286984e-05,4.421378683739283e-05,4.538550181391792e-05,4.657442012217394e-05,4.7780043792018893e-05,4.900191911011205e-05,5.0239631039237945e-05,5.149279849044823e-05,5.2761070298381494e-05
204,HAT-P-27b,2.668553787335273e-05,2.738227878535046e-05,2.81068022914419e-05,2.885688777990255e-05,2.9630660215807354e-05,3.0426523074804082e-05,3.1243106353422e-05,3.207922585451032e-05,3.293385100003751e-05,3.3806079160670614e-05,3.4695115014165264e-05,3.560025381964283e-05,3.652086776708369e-05,3.745639476109959e-05,3.840632914607684e-05,3.937021399050147e-05,4.0347634631851355e-05,4.133821324702686e-05,4.2341604262077393e-05,4.335749045266891e-05
205,G9-40b,1.621766447172377e-05,1.6262164560355063e-05,1.6341915128553873e-05,1.6452266747868515e-05,1.658941942910751e-05,1.675023844310432e-05,1.693211560195012e-05,1.7132863541573648e-05,1.7350634272568862e-05,1.758385579187608e-05,1.783118228570278e-05,1.8091454666395262e-05,1.8363669042705623e-05,1.8646951335658695e-05,1.8940536695457578e-05,1.924375269886356e-05,1.955600554569135e-05,1.987676865130661e-05,2.020557316601644e-05,2.0542000053815006e-05
206,WASP-41b,2.0799655075330598e-05,2.1374960371096886e-05,2.1971024416523474e-05,2.258628787502395e-05,2.3219429802182677e-05,2.3869321840741406e-05,2.4534992633391847e-05,2.5215599894197528e-05,2.591040828453332e-05,2.661877173390853e-05,2.73401191973738e-05,2.8073943093877973e-05,2.8819789853726342e-05,2.9577252138380787e-05,3.0345962396143703e-05,3.1125587492419646e-05,3.191582421006969e-05,3.2716395458674105e-05,3.35270470647919e-05,3.434754504104668e-05
207,TOI-640b,1.1494936947213188e-05,1.1870094790281488e-05,1.225545677442201e-05,1.26504204539341e-05,1.3054468971719359e-05,1.3467155225901252e-05,1.3888089472047065e-05,1.4316929520315173e-05,1.4753372913697915e-05,1.5197150633899741e-05,1.5648021996201152e-05,1.6105770477819623e-05,1.6570200285183924e-05,1.704113351059514e-05,1.7518407762411964e-05,1.8001874178268357e-05,1.8491395750125768e-05,1.8986845904742676e-05,1.9488107294564205e-05,1.9995070762911838e-05
208,TOI-1259Ab,2.0594301044424784e-05,2.1042846283036974e-05,2.1515753036499442e-05,2.2010767411871433e-05,2.2526001180791797e-05,2.3059859014167877e-05,2.36109824060761e-05,2.4178206004123795e-05,2.4760523269685855e-05,2.535705922996325e-05,2.5967048674690984e-05,2.6589818571949047e-05,2.722477378193858e-05,2.787138536976928e-05,2.852918098216102e-05,2.9197736874956214e-05,2.9876671270007644e-05,3.0565638789461014e-05,3.1264325768516517e-05,3.197244628859166e-05
209,WASP-138b,2.5400106347908904e-05,2.62064854843265e-05,2.7035832773432896e-05,2.7886725464956995e-05,2.8757946079711537e-05,2.9648444145073307e-05,3.055730627784048e-05,3.1483732562860955e-05,3.242701773159288e-05,3.338653603707651e-05,3.436172900227093e-05,3.535209542159405e-05,3.635718314390565e-05,3.73765822748262e-05,3.8409919518117326e-05,3.9456853437453896e-05,4.0517070466717034e-05,4.159028153275352e-05,4.2676219182190914e-05,4.377463512536822e-05
210,WASP-74b,1.1756362839324388e-05,1.2112508452776952e-05,1.247963769801459e-05,1.2857018187111364e-05,1.3244025633955506e-05,1.3640123468793735e-05,1.4044846936985873e-05,1.4457790572157288e-05,1.4878598236442422e-05,1.5306955133548782e-05,1.5742581352332223e-05,1.6185226608265652e-05,1.6634665930254672e-05,1.709069609930562e-05,1.7553132689539226e-05,1.8021807595100568e-05,1.8496566951585316e-05,1.8977269379758444e-05,1.9463784494102803e-05,1.9955991630183214e-05
211,HAT-P-25b,3.227012362989319e-05,3.315724960467822e-05,3.4076727151920515e-05,3.502610896334011e-05,3.6003322635526125e-05,3.700659855445983e-05,3.803441388075821e-05,3.908544860003491e-05,4.015855071534232e-05,4.1252708438723074e-05,4.2367027793010924e-05,4.35007144334239e-05,4.465305878822044e-05,4.582342383060475e-05,4.70112349521234e-05,4.821597152619605e-05,4.9437159839929013e-05,5.067436714055554e-05,5.192719659524083e-05,5.319528300351625e-05
212,HAT-P-62b,3.301234860464497e-05,3.3943051893398694e-05,3.4906244729996035e-05,3.589954133159116e-05,3.6920918267955434e-05,3.796864508844015e-05,3.9041230381811163e-05,4.0137379412677944e-05,4.125596053841635e-05,4.23959783546238e-05,4.355655204628306e-05,4.473689780262756e-05,4.593631443089656e-05,4.7154171508052934e-05,4.838989956101528e-05,4.964298187952036e-05,5.091294765164808e-05,5.21993661775481e-05,5.3501841967272705e-05,5.482001056760333e-05
213,WASP-29b,1.2740524544401851e-05,1.3020869380344462e-05,1.3316181946378793e-05,1.3625086693918463e-05,1.3946430810093862e-05,1.4279239948334341e-05,1.4622684102356855e-05,1.4976051022866244e-05,1.5338725308129273e-05,1.5710171808540045e-05,1.6089922344044746e-05,1.647756498935554e-05,1.6872735366807412e-05,1.7275109521720702e-05,1.7684398054723306e-05,1.810034125965088e-05,1.8522705071384825e-05,1.8951277670230025e-05,1.938586662171576e-05,1.9826296455550693e-05
214,WASP-82b,1.2101942637650655e-05,1.2498015248129946e-05,1.2904811267525808e-05,1.3321700784142198e-05,1.3748143229117124e-05,1.4183670861886453e-05,1.4627875837039227e-05,1.5080399976616872e-05,1.554092660817743e-05,1.6009173996001437e-05,1.64848900124311e-05,1.6967847782986583e-05,1.7457842102373915e-05,1.7954686465459923e-05,1.845821059238017e-05,1.8968258353394866e-05,1.9484686019223743e-05,2.000736077800309e-05,2.053615947191705e-05,2.1070967515813898e-05
215,HAT-P-29b,1.7671318907054902e-05,1.8218363794320268e-05,1.8781668463974974e-05,1.9360183773719415e-05,1.9953013889012634e-05,2.0559387521191193e-05,2.1178635468798238e-05,2.1810172907001142e-05,2.2453485292679543e-05,2.3108117050768173e-05,2.3773662420224035e-05,2.4449757991731033e-05,2.513607658158614e-05,2.5832322169126174e-05,2.6538225686869433e-05,2.725354149903757e-05,2.7978044439407617e-05,2.8711527306425087e-05,2.9453798734314794e-05,3.0204681375073088e-05
216,K2-31b,2.5277145103109963e-05,2.5930607158100456e-05,2.6610576339094038e-05,2.7314913168215028e-05,2.8041812045252867e-05,2.8789736348241955e-05,2.9557368141740164e-05,3.0343568805604408e-05,3.1147347920051024e-05,3.196783845825449e-05,3.2804276844764025e-05,3.365598680175256e-05,3.452236616906571e-05,3.54028760776248e-05,3.629703199916579e-05,3.7204396302545195e-05,3.812457202777493e-05,3.905719765050921e-05,4.000194265692518e-05,4.095850378540835e-05
217,HAT-P-37b,5.017271737215275e-05,5.1545753311102085e-05,5.296925632556835e-05,5.443938903371916e-05,5.5952902775400546e-05,5.7507024274594775e-05,5.909936762189196e-05,6.072786522713637e-05,6.239071314383946e-05,6.408632739471164e-05,6.581330879963604e-05,6.757041443424169e-05,6.935653430300713e-05,7.117067214571349e-05,7.301192954463023e-05,7.487949268599149e-05,7.677262127004275e-05,7.869063917113997e-05,8.063292653173631e-05,8.259891303778455e-05
218,XO-2Nb,1.9079493992508057e-05,1.9580879415171996e-05,2.0102035053345875e-05,2.0641390972910156e-05,2.1197621103646132e-05,2.1769595962660868e-05,2.2356345996822258e-05,2.2957032868646326e-05,2.3570926751182038e-05,2.419738821609263e-05,2.4835853666908764e-05,2.548582353341966e-05,2.6146852634845784e-05,2.681854226008723e-05,2.7500533617602638e-05,2.8192502385471044e-05,2.8894154151073984e-05,2.9605220574645302e-05,3.0325456145321603e-05,3.105463542489346e-05
219,HAT-P-32b,2.359373428473737e-05,2.4309885158929322e-05,2.5048048237063227e-05,2.580676000485007e-05,2.6584772775282907e-05,2.7381014007183628e-05,2.819455456952507e-05,2.902458373812631e-05,2.987038931448396e-05,3.07313416813149e-05,3.160688091243749e-05,3.249650627339139e-05,3.339976760890613e-05,3.4316258231123294e-05,3.5245609010228524e-05,3.618748343510044e-05,3.71415734616019e-05,3.810759600436121e-05,3.908528995734629e-05,4.0074413651380106e-05
220,KPS-1b,4.5022341552775277e-05,4.6148018893691136e-05,4.732206651429038e-05,4.854045647087493e-05,4.9799794999794574e-05,5.109719860680701e-05,5.243019816024797e-05,5.379666389430219e-05,5.519474620310227e-05,5.662282848551878e-05,5.807948927667533e-05,5.956347160171758e-05,6.107365799442269e-05,6.260904999473548e-05,6.416875121429169e-05,6.575195326441132e-05,6.735792399591958e-05,6.89859976178602e-05,7.06355663523757e-05,7.230607335264776e-05
221,XO-1b,1.67304266420324e-05,1.721443741410427e-05,1.7714606212562204e-05,1.822978450691825e-05,1.8758996554494307e-05,1.9301406489012654e-05,1.9856292702515147e-05,2.0423027704202536e-05,2.1001062137677762e-05,2.1589911987951987e-05,2.218914825863075e-05,2.2798388579128507e-05,2.3417290332496037e-05,2.404554499069403e-05,2.4682873415720464e-05,2.532902193870337e-05,2.5983759069734045e-05,2.6646872722243036e-05,2.731816785959517e-05,2.7997464490071422e-05
222,WASP-190b,2.2977869667242653e-05,2.3721416071627945e-05,2.4485475262237145e-05,2.5268817595634325e-05,2.6070388988252592e-05,2.688927835992365e-05,2.772469215363645e-05,2.857593419759134e-05,2.944238964407304e-05,3.0323512050687524e-05,3.121881290638715e-05,3.212785307621512e-05,3.305023576425859e-05,3.3985600687150554e-05,3.493361921981015e-05,3.58939903273555e-05,3.686643713684259e-05,3.785070403290168e-05,3.884655418483645e-05,3.985376743100976e-05
223,WASP-92b,4.5674520345705126e-05,4.7126338060683325e-05,4.861942261258893e-05,5.015122301639308e-05,5.1719556097132485e-05,5.332253794885999e-05,5.4958530342326375e-05,5.6626098408019204e-05,5.832397691610929e-05,6.005104317722314e-05,6.180629509012197e-05,6.358883322563701e-05,6.539784610193878e-05,6.72325980025752e-05,6.909241883525852e-05,7.097669563970768e-05,7.2884865436668e-05,7.481640917437828e-05,7.677084657826959e-05,7.874773174813654e-05
224,HAT-P-19b,2.670506302564408e-05,2.7335998214984723e-05,2.7996805857526933e-05,2.8684877593217476e-05,2.9398021297941816e-05,3.013437909936648e-05,3.0892364040622485e-05,3.167061064143204e-05,3.2467935935258595e-05,3.328330848745709e-05,3.411582355385349e-05,3.4964683007291416e-05,3.5829178998423457e-05,3.6708680564799606e-05,3.760262258541317e-05,3.851049661445548e-05,3.943184323086284e-05,4.0366245618288606e-05,4.1313324149869885e-05,4.227273179820399e-05
225,HAT-P-67b,1.0079768430915e-05,1.0406224503305811e-05,1.0741673816699603e-05,1.1085578091986107e-05,1.1437475863841322e-05,1.1796968239555957e-05,1.2163707752691672e-05,1.2537389553325731e-05,1.2917744381473075e-05,1.3304532915017492e-05,1.369754118706626e-05,1.4096576842642255e-05,1.4501466059536096e-05,1.491205099874767e-05,1.5328187680276132e-05,1.5749744202867535e-05,1.6176599243701497e-05,1.660864078730289e-05,1.7045765043241008e-05,1.7487875520165193e-05
226,K2-107b,3.537975812702855e-05,3.645917056341009e-05,3.75714715912785e-05,3.871449122339155e-05,3.9886378741701186e-05,4.10855425900015e-05,4.2310603472559474e-05,4.356035739364166e-05,4.483374626202402e-05,4.612983431097884e-05,4.744778903120475e-05,4.8786865636906024e-05,5.01463943208882e-05,5.1525769728384024e-05,5.292444220885657e-05,5.43419105023976e-05,5.5777715591199474e-05,5.723143550303082e-05,5.870268089715638e-05,6.019109129689382e-05
